"","Word","correct_response"
"1","bagpipe","true"
"2","bluefish","true"
"3","crossbow","true"
"4","locust","true"
"5","neighbor","true"
"6","paperweight","true"
"7","pillow","true"
"8","projector","true"
"9","spire","true"
"10","tugboat","true"
"11","wallboard","true"
"12","wintergreen","true"
"13","blessing","false"
"14","demerit","false"
"15","devotion","false"
"16","eagerness","false"
"17","entrapment","false"
"18","expertise","false"
"19","flashback","false"
"20","par","false"
"21","processing","false"
"22","significance","false"
"23","vendetta","false"
"24","worldliness","false"
